customer_id,product_name,product_id,interaction_type,interaction_date
93363fcf-9748-4dad-a018-ccb23585f914,Savings accounts,2,purchased,2024-07-11
93363fcf-9748-4dad-a018-ccb23585f914,Credit cards,6,purchased,2024-06-12
93363fcf-9748-4dad-a018-ccb23585f914,Credit cards,6,clicked,2024-11-13
93363fcf-9748-4dad-a018-ccb23585f914,Insurance,8,viewed,2024-08-21
93363fcf-9748-4dad-a018-ccb23585f914,Credit cards,6,clicked,2024-09-25
93363fcf-9748-4dad-a018-ccb23585f914,Credit cards,6,viewed,2024-02-21
93363fcf-9748-4dad-a018-ccb23585f914,Mobile banking,4,viewed,2024-09-30
93363fcf-9748-4dad-a018-ccb23585f914,Loans,1,purchased,2024-10-29
93363fcf-9748-4dad-a018-ccb23585f914,Financial education,5,viewed,2024-07-15
93363fcf-9748-4dad-a018-ccb23585f914,Mobile banking,4,viewed,2024-05-11
93363fcf-9748-4dad-a018-ccb23585f914,Savings accounts,2,purchased,2024-06-13
93363fcf-9748-4dad-a018-ccb23585f914,Savings accounts,2,purchased,2024-10-21
93363fcf-9748-4dad-a018-ccb23585f914,Debit cards,7,clicked,2024-10-22
93363fcf-9748-4dad-a018-ccb23585f914,Financial education,5,viewed,2024-08-15
93363fcf-9748-4dad-a018-ccb23585f914,Mobile banking,4,viewed,2024-04-03
822527c1-3571-4db1-bfbf-3897963c8486,Savings accounts,2,clicked,2024-06-04
822527c1-3571-4db1-bfbf-3897963c8486,Insurance,8,purchased,2024-03-18
822527c1-3571-4db1-bfbf-3897963c8486,Internet banking,3,viewed,2024-07-02
822527c1-3571-4db1-bfbf-3897963c8486,Savings accounts,2,clicked,2024-09-25
822527c1-3571-4db1-bfbf-3897963c8486,Internet banking,3,purchased,2024-05-19
822527c1-3571-4db1-bfbf-3897963c8486,Loans,1,viewed,2024-09-20
822527c1-3571-4db1-bfbf-3897963c8486,Internet banking,3,clicked,2024-03-11
822527c1-3571-4db1-bfbf-3897963c8486,Insurance,8,viewed,2024-07-25
822527c1-3571-4db1-bfbf-3897963c8486,Insurance,8,purchased,2024-08-15
822527c1-3571-4db1-bfbf-3897963c8486,Financial education,5,clicked,2024-05-12
822527c1-3571-4db1-bfbf-3897963c8486,Loans,1,purchased,2024-10-23
822527c1-3571-4db1-bfbf-3897963c8486,Mobile banking,4,viewed,2024-05-27
822527c1-3571-4db1-bfbf-3897963c8486,Credit cards,6,purchased,2024-10-14
822527c1-3571-4db1-bfbf-3897963c8486,Internet banking,3,viewed,2024-09-12
822527c1-3571-4db1-bfbf-3897963c8486,Insurance,8,viewed,2024-11-16
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Debit cards,7,viewed,2024-04-19
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Internet banking,3,viewed,2024-08-29
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Financial education,5,viewed,2024-05-08
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Internet banking,3,clicked,2024-12-04
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Mobile banking,4,purchased,2024-07-22
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Savings accounts,2,viewed,2024-01-05
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Internet banking,3,viewed,2024-11-28
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Savings accounts,2,viewed,2024-07-24
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Loans,1,purchased,2024-06-16
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Loans,1,viewed,2024-01-03
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Debit cards,7,viewed,2024-11-24
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Mobile banking,4,purchased,2024-09-14
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Internet banking,3,clicked,2024-05-29
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Mobile banking,4,viewed,2024-10-24
c2f8640c-9b70-4dac-b023-1c7f6c4f45fa,Debit cards,7,viewed,2024-03-26
fe672fb4-fdd5-4b62-9381-334a816dbd97,Loans,1,viewed,2024-10-19
fe672fb4-fdd5-4b62-9381-334a816dbd97,Debit cards,7,clicked,2024-04-28
fe672fb4-fdd5-4b62-9381-334a816dbd97,Mobile banking,4,viewed,2024-02-03
fe672fb4-fdd5-4b62-9381-334a816dbd97,Financial education,5,viewed,2024-01-17
fe672fb4-fdd5-4b62-9381-334a816dbd97,Debit cards,7,purchased,2024-07-02
fe672fb4-fdd5-4b62-9381-334a816dbd97,Savings accounts,2,purchased,2024-12-03
fe672fb4-fdd5-4b62-9381-334a816dbd97,Savings accounts,2,clicked,2024-11-01
fe672fb4-fdd5-4b62-9381-334a816dbd97,Loans,1,purchased,2024-05-06
fe672fb4-fdd5-4b62-9381-334a816dbd97,Credit cards,6,clicked,2024-10-17
fe672fb4-fdd5-4b62-9381-334a816dbd97,Credit cards,6,clicked,2024-08-04
fe672fb4-fdd5-4b62-9381-334a816dbd97,Internet banking,3,purchased,2024-03-10
fe672fb4-fdd5-4b62-9381-334a816dbd97,Credit cards,6,viewed,2024-05-22
fe672fb4-fdd5-4b62-9381-334a816dbd97,Loans,1,viewed,2024-01-29
fe672fb4-fdd5-4b62-9381-334a816dbd97,Debit cards,7,viewed,2024-02-17
fe672fb4-fdd5-4b62-9381-334a816dbd97,Debit cards,7,purchased,2024-05-03
9045886e-f3af-4a0d-a440-af57207d481b,Savings accounts,2,purchased,2024-02-16
9045886e-f3af-4a0d-a440-af57207d481b,Financial education,5,clicked,2024-09-25
9045886e-f3af-4a0d-a440-af57207d481b,Mobile banking,4,viewed,2024-11-20
9045886e-f3af-4a0d-a440-af57207d481b,Loans,1,viewed,2024-03-03
9045886e-f3af-4a0d-a440-af57207d481b,Debit cards,7,viewed,2024-08-22
9045886e-f3af-4a0d-a440-af57207d481b,Internet banking,3,purchased,2024-05-03
9045886e-f3af-4a0d-a440-af57207d481b,Credit cards,6,clicked,2024-09-03
9045886e-f3af-4a0d-a440-af57207d481b,Financial education,5,purchased,2024-03-05
9045886e-f3af-4a0d-a440-af57207d481b,Savings accounts,2,purchased,2024-06-08
9045886e-f3af-4a0d-a440-af57207d481b,Mobile banking,4,viewed,2024-06-12
